rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
30,full_grid,-0.021287129,-0.016336634,0.006035149,4.256888934e+03,1.793933838e-01,2.372935301e+04,6348,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02
31,full_grid,-0.021287129,0.016336634,0.006035149,4.256888934e+03,1.793933838e-01,2.372935301e+04,6348,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02
32,full_grid,0.016336634,-0.021287129,0.006035149,4.256888934e+03,1.793933838e-01,2.372935301e+04,6348,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02
33,full_grid,-0.016336634,-0.021287129,0.006035149,4.256888934e+03,1.793933838e-01,2.372935301e+04,6348,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02
34,full_grid,0.013366337,-0.016336634,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
35,full_grid,0.013366337,0.016336634,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
36,full_grid,-0.016336634,0.013366337,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
37,full_grid,0.016336634,0.013366337,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
38,full_grid,0.016336634,-0.013366337,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
39,full_grid,-0.016336634,-0.013366337,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
40,full_grid,-0.013366337,0.016336634,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
41,full_grid,-0.013366337,-0.016336634,0.002212376,3.438125540e+03,1.289433260e-01,2.666385029e+04,3538,-5.243443345e-07,6.661708093e-05,1.386147721e-09,8.684810632e-02
42,full_grid,0.011386139,-0.006930693,0.004760891,3.299529823e+03,1.269338396e-01,2.599409136e+04,5898,-9.506762535e-07,6.248423401e-05,2.036695282e-09,6.420207260e-02
