rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
1,full_grid,0.000000000,0.000000000,0.042563861,5.109771178e+03,6.920270114e-02,7.383774179e+04,5616,-1.576775533e-05,2.372053450e-03,6.873014717e-07,1.402232395e+00
2,full_grid,0.000000000,0.000000000,0.037891584,6.396586860e+03,8.845776328e-02,7.231232877e+04,6353,-1.463599057e-05,1.712883215e-03,6.386996708e-07,1.303075068e+00
3,full_grid,0.000000000,0.000000000,0.033219307,6.991872175e+03,1.038006111e-01,6.735868026e+04,6353,-1.247583573e-05,7.687357188e-04,5.359158254e-07,1.093375467e+00
4,full_grid,0.000000000,0.000000000,0.028547030,5.892269707e+03,9.773487372e-02,6.028830327e+04,6353,-9.360268201e-06,9.488242931e-05,3.767443419e-07,7.686338064e-01
5,full_grid,0.000000000,0.000000000,0.023874752,8.595389714e+03,1.732083233e-01,4.962457665e+04,6353,-5.535992990e-06,3.415064675e-04,1.307781510e-07,2.668135837e-01
6,full_grid,0.002970297,0.002970297,0.006884653,2.186629222e+03,8.018211115e-02,2.727078635e+04,6353,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01
7,full_grid,0.002970297,-0.002970297,0.006884653,2.186629222e+03,8.018211115e-02,2.727078635e+04,6353,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01
8,full_grid,-0.002970297,0.002970297,0.006884653,2.186629222e+03,8.018211115e-02,2.727078635e+04,6353,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01
9,full_grid,-0.002970297,-0.002970297,0.006884653,2.186629222e+03,8.018211115e-02,2.727078635e+04,6353,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01
10,full_grid,0.015346535,-0.003960396,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
11,full_grid,-0.003960396,0.015346535,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
12,full_grid,-0.015346535,-0.003960396,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
13,full_grid,-0.003960396,-0.015346535,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
14,full_grid,-0.015346535,0.003960396,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
15,full_grid,0.015346535,0.003960396,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
16,full_grid,0.003960396,0.015346535,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
17,full_grid,0.003960396,-0.015346535,0.004973267,4.907332427e+03,1.993270182e-01,2.461950453e+04,6019,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01
18,full_grid,0.012376238,0.000000000,0.037466832,1.877261653e+03,1.138312736e-01,1.649161600e+04,6353,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02
19,full_grid,-0.012376238,0.000000000,0.037466832,1.877261653e+03,1.138312736e-01,1.649161600e+04,6353,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02
20,full_grid,0.000000000,-0.012376238,0.037466832,1.877261653e+03,1.138312736e-01,1.649161600e+04,6353,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02
21,full_grid,0.000000000,0.012376238,0.037466832,1.877261653e+03,1.138312736e-01,1.649161600e+04,6353,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02
22,full_grid,0.000000000,0.012376238,0.042351485,1.110662664e+03,6.626799895e-02,1.676016601e+04,5761,-7.301854112e-07,1.081111700e-04,2.695732648e-08,5.499833749e-02
23,full_grid,0.012376238,0.000000000,0.042351485,1.110662664e+03,6.626799895e-02,1.676016601e+04,5761,-7.301854112e-07,1.081111700e-04,2.695732648e-08,5.499833749e-02
