index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
80,0.000000000,0.000000000,0.018990099,1.727393835e+04,-2.090148453e-06,1.629217895e-03,-2.984343390e-02,False
81,0.000000000,0.000000000,0.019202475,1.684995057e+04,-2.363405236e-06,8.561364641e-04,-7.674139628e-02,False
82,0.000000000,0.000000000,0.019414851,1.756278318e+04,-2.453794535e-06,8.021127274e-05,-1.107478260e-01,True
83,0.000000000,0.000000000,0.019627228,1.936709069e+04,-2.329335300e-06,1.084066109e-03,-1.785600959e-01,False
84,0.000000000,0.000000000,0.019839604,2.195899345e+04,-1.993334772e-06,2.038167370e-03,-2.540145069e-01,False
85,0.000000000,0.000000000,0.020051980,2.500065610e+04,-1.463618664e-06,2.861803974e-03,-3.193246802e-01,False
86,0.000000000,0.000000000,0.020264356,2.816852918e+04,-7.777764505e-07,3.462241357e-03,-3.683993899e-01,False
87,0.000000000,0.000000000,0.020476733,3.122659243e+04,6.976922107e-09,3.747065028e-03,-3.973567107e-01,False
88,0.000000000,0.000000000,0.020689109,3.396583932e+04,8.137986952e-07,3.670284159e-03,-1.208934388e+00,False
89,0.000000000,0.000000000,0.020901485,3.624826764e+04,1.565939204e-06,3.233567155e-03,-2.919897145e+00,False
90,0.000000000,0.000000000,0.021113861,3.794932333e+04,2.187264348e-06,2.430050620e-03,-4.501973448e+00,False
91,0.000000000,0.000000000,0.021326238,3.897364485e+04,2.598109219e-06,1.321342789e-03,-5.625150427e+00,False
92,0.000000000,0.000000000,0.021538614,3.924867272e+04,2.748507968e-06,4.075405195e-05,-6.262593445e+00,False
93,0.000000000,0.000000000,0.021750990,3.873858966e+04,2.615419604e-06,1.338709278e-03,-6.493624566e+00,False
94,0.000000000,0.000000000,0.021963366,3.741154212e+04,2.179887889e-06,2.717429056e-03,-6.128238851e+00,False
95,0.000000000,0.000000000,0.022175743,3.525738609e+04,1.461184886e-06,3.941693899e-03,-5.168906519e+00,False
96,0.000000000,0.000000000,0.022388119,3.229735700e+04,5.056436487e-07,4.912934894e-03,-3.720575501e+00,False
97,0.000000000,0.000000000,0.022600495,2.857266712e+04,-6.255963711e-07,5.522017552e-03,-1.700975559e+00,False
98,0.000000000,0.000000000,0.022812871,2.414296220e+04,-1.839846975e-06,5.635428473e-03,5.231274333e-01,False
99,0.000000000,0.000000000,0.023025248,1.912208434e+04,-3.019258564e-06,5.246958397e-03,5.447915378e-01,False
100,0.000000000,0.000000000,0.023237624,1.370344441e+04,-4.068505542e-06,4.430896626e-03,5.199115010e-01,False
101,0.000000000,0.000000000,0.023450000,8.330594425e+03,-4.901292873e-06,3.158981698e-03,4.872909738e-01,False
102,0.000000000,0.000000000,0.023662376,5.247060360e+03,-5.410290837e-06,1.498795215e-03,4.034021352e-01,False
103,0.000000000,0.000000000,0.023874752,8.589222624e+03,-5.537909851e-06,3.407385843e-04,2.671078089e-01,True
104,0.000000000,0.000000000,0.024087129,1.459020516e+04,-5.265561280e-06,2.249174270e-03,1.265409464e-01,False
105,0.000000000,0.000000000,0.024299505,2.102842515e+04,-4.582567513e-06,4.136503064e-03,-2.960364017e-02,False
106,0.000000000,0.000000000,0.024511881,2.741411398e+04,-3.508571364e-06,5.807289432e-03,-2.404005524e-01,False
107,0.000000000,0.000000000,0.024724257,3.350033042e+04,-2.115906952e-06,7.026489700e-03,-4.578764258e-01,False
108,0.000000000,0.000000000,0.024936634,3.911667342e+04,-5.240524721e-07,7.688805805e-03,-6.173350920e-01,False
109,0.000000000,0.000000000,0.025149010,4.412857148e+04,1.149932346e-06,7.783739379e-03,-1.029711003e+00,False
110,0.000000000,0.000000000,0.025361386,4.840824475e+04,2.782110096e-06,7.251433508e-03,-4.005778995e+00,False
111,0.000000000,0.000000000,0.025573762,5.184152549e+04,4.229996677e-06,6.082274836e-03,-6.835766423e+00,False
112,0.000000000,0.000000000,0.025786139,5.433745559e+04,5.365571388e-06,4.347924799e-03,-9.254385560e+00,False
113,0.000000000,0.000000000,0.025998515,5.581080342e+04,6.076788498e-06,2.151451662e-03,-1.105417517e+01,False
114,0.000000000,0.000000000,0.026210891,5.620402958e+04,6.279405807e-06,3.473634657e-04,-1.199739283e+01,False
115,0.000000000,0.000000000,0.026423267,5.547886769e+04,5.929245006e-06,2.944470639e-03,-1.194738928e+01,False
116,0.000000000,0.000000000,0.026635644,5.362596497e+04,5.028734614e-06,5.422046637e-03,-1.086576463e+01,False
117,0.000000000,0.000000000,0.026848020,5.065608656e+04,3.626217276e-06,7.559731060e-03,-8.846308013e+00,False
118,0.000000000,0.000000000,0.027060396,4.661081893e+04,1.817720134e-06,9.179537863e-03,-6.054496292e+00,False
119,0.000000000,0.000000000,0.027272772,4.155273240e+04,-2.728141530e-07,1.013139335e-02,-2.570942327e+00,False
120,0.000000000,0.000000000,0.027485149,3.556051552e+04,-2.485614267e-06,1.027155198e-02,5.555291815e-01,False
121,0.000000000,0.000000000,0.027697525,2.875310377e+04,-4.635681281e-06,9.569051672e-03,7.195714918e-01,False
122,0.000000000,0.000000000,0.027909901,2.127749877e+04,-6.550092650e-06,8.080459619e-03,8.349007809e-01,False
123,0.000000000,0.000000000,0.028122277,1.335110725e+04,-8.067876505e-06,5.859052047e-03,8.954062058e-01,False
124,0.000000000,0.000000000,0.028334653,5.683464898e+03,-9.038739510e-06,3.045206259e-03,8.798634809e-01,False
125,0.000000000,0.000000000,0.028547030,5.889584406e+03,-9.361335401e-06,9.420185025e-05,7.687668587e-01,True
126,0.000000000,0.000000000,0.028759406,1.390535525e+04,-8.998727041e-06,3.338333642e-03,6.084535483e-01,False
127,0.000000000,0.000000000,0.028971782,2.244782685e+04,-7.943369923e-06,6.424425467e-03,3.726913288e-01,False
128,0.000000000,0.000000000,0.029184158,3.080161335e+04,-6.269936422e-06,9.045835443e-03,9.868499251e-02,False
129,0.000000000,0.000000000,0.029396535,3.872287636e+04,-4.101128928e-06,1.100379628e-02,-1.717378909e-01,False
130,0.000000000,0.000000000,0.029608911,4.601720831e+04,-1.596046713e-06,1.213387176e-02,-4.355619979e-01,False
131,0.000000000,0.000000000,0.029821287,5.252401727e+04,1.052763135e-06,1.232713884e-02,-1.466000442e+00,False
132,0.000000000,0.000000000,0.030033663,5.809066043e+04,3.639936022e-06,1.151118444e-02,-6.141377310e+00,False
133,0.000000000,0.000000000,0.030246040,6.258473463e+04,5.942167220e-06,9.718573626e-03,-1.037329628e+01,False
134,0.000000000,0.000000000,0.030458416,6.590755330e+04,7.767924226e-06,7.105101168e-03,-1.385538073e+01,False
135,0.000000000,0.000000000,0.030670792,6.797213471e+04,8.960076528e-06,3.833466367e-03,-1.635630435e+01,False
136,0.000000000,0.000000000,0.030883168,6.871120203e+04,9.396198554e-06,1.577204103e-04,-1.755889107e+01,False
137,0.000000000,0.000000000,0.031095545,6.810734029e+04,9.027068662e-06,3.624716077e-03,-1.735581037e+01,False
138,0.000000000,0.000000000,0.031307921,6.614721572e+04,7.856591428e-06,7.214203003e-03,-1.572495160e+01,False
139,0.000000000,0.000000000,0.031520297,6.285908855e+04,5.962818080e-06,1.030392819e-02,-1.281108835e+01,False
140,0.000000000,0.000000000,0.031732673,5.830078743e+04,3.479972424e-06,1.265574449e-02,-8.836591632e+00,False
141,0.000000000,0.000000000,0.031945050,5.255054393e+04,5.872592828e-07,1.405729236e-02,-3.975727007e+00,False
142,0.000000000,0.000000000,0.032157426,4.571764139e+04,-2.490897301e-06,1.434444437e-02,4.899644477e-01,False
143,0.000000000,0.000000000,0.032369802,3.794644657e+04,-5.505578971e-06,1.346978277e-02,7.557293543e-01,False
144,0.000000000,0.000000000,0.032582178,2.942978240e+04,-8.212220873e-06,1.151047087e-02,9.619428944e-01,False
145,0.000000000,0.000000000,0.032794554,2.044911247e+04,-1.039467997e-05,8.587466502e-03,1.100226664e+00,False
146,0.000000000,0.000000000,0.033006931,1.167905372e+04,-1.185976853e-05,4.900791578e-03,1.142446696e+00,False
147,0.000000000,0.000000000,0.033219307,6.989971912e+03,-1.247630332e-05,7.690096124e-04,1.093414720e+00,True
148,0.000000000,0.000000000,0.033431683,1.296234546e+04,-1.218640726e-05,3.502091889e-03,9.768894150e-01,False
149,0.000000000,0.000000000,0.033644059,2.214399795e+04,-1.098878112e-05,7.574953725e-03,7.694358464e-01,False
150,0.000000000,0.000000000,0.033856436,3.154954602e+04,-8.968926918e-06,1.110752197e-02,4.964096509e-01,False
151,0.000000000,0.000000000,0.034068812,4.059335104e+04,-6.270833669e-06,1.379247124e-02,1.745271518e-01,False
152,0.000000000,0.000000000,0.034281188,4.898123973e+04,-3.110540620e-06,1.539448498e-02,-1.506521170e-01,False
153,0.000000000,0.000000000,0.034493564,5.651090747e+04,2.680119324e-07,1.579298203e-02,-1.117268722e+00,False
154,0.000000000,0.000000000,0.034705941,6.299829097e+04,3.597567587e-06,1.491992233e-02,-6.977963320e+00,False
155,0.000000000,0.000000000,0.034918317,6.830084184e+04,6.605285871e-06,1.282907483e-02,-1.236537906e+01,False
156,0.000000000,0.000000000,0.035130693,7.229526296e+04,9.046748877e-06,9.667696962e-03,-1.683716748e+01,False
157,0.000000000,0.000000000,0.035343069,7.488662491e+04,1.071166409e-05,5.677446267e-03,-2.002398409e+01,False
158,0.000000000,0.000000000,0.035555446,7.601592250e+04,1.145825823e-05,1.162460155e-03,-2.167578888e+01,False
159,0.000000000,0.000000000,0.035767822,7.563708034e+04,1.120542191e-05,3.529398712e-03,-2.159964935e+01,False
160,0.000000000,0.000000000,0.035980198,7.375196573e+04,9.959137394e-06,8.012044373e-03,-1.974225365e+01,False
161,0.000000000,0.000000000,0.036192574,7.038698101e+04,7.802286234e-06,1.191496982e-02,-1.619864487e+01,False
162,0.000000000,0.000000000,0.036404950,6.559740732e+04,4.898224472e-06,1.489245888e-02,-1.128610480e+01,False
