index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
65,0.000000000,0.000000000,0.015804455,1.613897701e+04,-1.632491822e-06,1.279464411e-03,-2.176538790e-02,False
66,0.000000000,0.000000000,0.016016832,1.789129047e+04,-1.307527656e-06,1.724189015e-03,1.999779100e-02,False
67,0.000000000,0.000000000,0.016229208,1.994028571e+04,-9.001382699e-07,2.036534086e-03,8.025135359e-02,False
68,0.000000000,0.000000000,0.016441584,2.200842988e+04,-4.425047626e-07,2.174577788e-03,-2.510421794e-02,False
69,0.000000000,0.000000000,0.016653960,2.387393484e+04,2.351902820e-08,2.025871007e-03,-1.357110808e+00,False
70,0.000000000,0.000000000,0.016866337,2.536807929e+04,4.179889621e-07,1.598141613e-03,-2.366516232e+00,False
71,0.000000000,0.000000000,0.017078713,2.643285246e+04,7.023336342e-07,1.020687380e-03,-3.014508337e+00,False
72,0.000000000,0.000000000,0.017291089,2.699024060e+04,8.515284530e-07,3.177217355e-04,-3.455195038e+00,False
73,0.000000000,0.000000000,0.017503465,2.699861394e+04,8.372867277e-07,4.469152652e-04,-3.556565341e+00,False
74,0.000000000,0.000000000,0.017715842,2.648038728e+04,6.617000879e-07,1.192938196e-03,-3.283135957e+00,False
75,0.000000000,0.000000000,0.017928218,2.547005843e+04,3.305832760e-07,1.841435390e-03,-2.554098052e+00,False
76,0.000000000,0.000000000,0.018140594,2.401428067e+04,-1.204541518e-07,2.277797666e-03,-1.478642346e+00,False
77,0.000000000,0.000000000,0.018352970,2.224957781e+04,-6.369169207e-07,2.469492386e-03,-3.590244553e-01,False
78,0.000000000,0.000000000,0.018565347,2.035026418e+04,-1.169377155e-06,2.430294192e-03,9.136912601e-02,False
79,0.000000000,0.000000000,0.018777723,1.857963990e+04,-1.669190394e-06,2.161905748e-03,2.687017094e-02,False
80,0.000000000,0.000000000,0.018990099,1.728321076e+04,-2.087651973e-06,1.628234159e-03,-3.023584876e-02,False
81,0.000000000,0.000000000,0.019202475,1.686017000e+04,-2.360786884e-06,8.559785463e-04,-7.715190724e-02,False
82,0.000000000,0.000000000,0.019414851,1.757208185e+04,-2.451230979e-06,7.953669351e-05,-1.111640342e-01,True
83,0.000000000,0.000000000,0.019627228,1.937400575e+04,-2.327003476e-06,1.082600734e-03,-1.789467737e-01,False
84,0.000000000,0.000000000,0.019839604,2.196291307e+04,-1.991393638e-06,2.036036296e-03,-2.543463266e-01,False
85,0.000000000,0.000000000,0.020051980,2.500159258e+04,-1.462192020e-06,2.859190290e-03,-3.195860261e-01,False
86,0.000000000,0.000000000,0.020264356,2.816676576e+04,-7.769454851e-07,3.459341728e-03,-3.685887479e-01,False
87,0.000000000,0.000000000,0.020476733,3.122249878e+04,7.171941865e-09,3.744083743e-03,-3.974729794e-01,False
88,0.000000000,0.000000000,0.020689109,3.395978869e+04,8.133633523e-07,3.667462142e-03,-1.207651986e+00,False
89,0.000000000,0.000000000,0.020901485,3.624062827e+04,1.564935564e-06,3.231130573e-03,-2.917723282e+00,False
90,0.000000000,0.000000000,0.021113861,3.794043698e+04,2.185794061e-06,2.428151956e-03,-4.499156423e+00,False
91,0.000000000,0.000000000,0.021326238,3.896383261e+04,2.596299118e-06,1.320102745e-03,-5.621835638e+00,False
92,0.000000000,0.000000000,0.021538614,3.923823360e+04,2.746510970e-06,4.026335306e-05,-6.259033401e+00,False
93,0.000000000,0.000000000,0.021750990,3.872780529e+04,2.613401077e-06,1.338437184e-03,-6.490143746e+00,False
94,0.000000000,0.000000000,0.021963366,3.740067446e+04,2.178006463e-06,2.716441268e-03,-6.125082591e+00,False
95,0.000000000,0.000000000,0.022175743,3.524668165e+04,1.459585924e-06,3.940081176e-03,-5.166290794e+00,False
96,0.000000000,0.000000000,0.022388119,3.228704492e+04,5.044472305e-07,4.910836071e-03,-3.718682906e+00,False
97,0.000000000,0.000000000,0.022600495,2.856297230e+04,-6.263038523e-07,5.519600945e-03,-1.699916035e+00,False
98,0.000000000,0.000000000,0.022812871,2.413410941e+04,-1.840016933e-06,5.632879614e-03,5.231554562e-01,False
99,0.000000000,0.000000000,0.023025248,1.911435269e+04,-3.018883411e-06,5.244471155e-03,5.447547588e-01,False
100,0.000000000,0.000000000,0.023237624,1.369729505e+04,-4.067619038e-06,4.428634761e-03,5.198095120e-01,False
101,0.000000000,0.000000000,0.023450000,8.327326978e+03,-4.899956988e-06,3.157096272e-03,4.871155503e-01,False
102,0.000000000,0.000000000,0.023662376,5.250782813e+03,-5.408603494e-06,1.497427417e-03,4.031620526e-01,False
103,0.000000000,0.000000000,0.023874752,8.595389714e+03,-5.535992990e-06,3.415064675e-04,2.668135837e-01,True
104,0.000000000,0.000000000,0.024087129,1.459509975e+04,-5.263547776e-06,2.249294515e-03,1.262075843e-01,False
105,0.000000000,0.000000000,0.024299505,2.103195591e+04,-4.580599577e-06,4.135996329e-03,-2.994284803e-02,False
106,0.000000000,0.000000000,0.024511881,2.741638536e+04,-3.506773098e-06,5.806237959e-03,-2.407351182e-01,False
107,0.000000000,0.000000000,0.024724257,3.350143280e+04,-2.114385632e-06,7.024987878e-03,-4.581902184e-01,False
108,0.000000000,0.000000000,0.024936634,3.911669933e+04,-5.228921085e-07,7.686992740e-03,-6.176177340e-01,False
109,0.000000000,0.000000000,0.025149010,4.412761350e+04,1.150683562e-06,7.781760311e-03,-1.030165302e+00,False
110,0.000000000,0.000000000,0.025361386,4.840639805e+04,2.782429845e-06,7.249427478e-03,-4.005543876e+00,False
111,0.000000000,0.000000000,0.025573762,5.183889593e+04,4.229895827e-06,6.080395635e-03,-6.834855111e+00,False
112,0.000000000,0.000000000,0.025786139,5.433415335e+04,5.365092942e-06,4.346305852e-03,-9.252906356e+00,False
113,0.000000000,0.000000000,0.025998515,5.580693980e+04,6.075999996e-06,2.150200757e-03,-1.105225725e+01,False
114,0.000000000,0.000000000,0.026210891,5.619972025e+04,6.278396035e-06,3.481677733e-04,-1.199518219e+01,False
115,0.000000000,0.000000000,0.026423267,5.547422478e+04,5.928114872e-06,2.944782571e-03,-1.194506147e+01,False
116,0.000000000,0.000000000,0.026635644,5.362110255e+04,5.027592350e-06,5.421862199e-03,-1.086354971e+01,False
117,0.000000000,0.000000000,0.026848020,5.065111745e+04,3.625165483e-06,7.559102200e-03,-8.844375635e+00,False
118,0.000000000,0.000000000,0.027060396,4.660584554e+04,1.816844979e-06,9.178532642e-03,-6.052913052e+00,False
119,0.000000000,0.000000000,0.027272772,4.154784915e+04,-2.734389762e-07,1.013009200e-02,-2.569820643e+00,False
120,0.000000000,0.000000000,0.027485149,3.555581754e+04,-2.485936673e-06,1.027007032e-02,5.556114156e-01,False
121,0.000000000,0.000000000,0.027697525,2.874867871e+04,-4.635676766e-06,9.567511295e-03,7.196223065e-01,False
122,0.000000000,0.000000000,0.027909901,2.127344397e+04,-6.549760777e-06,8.078979212e-03,8.349045442e-01,False
123,0.000000000,0.000000000,0.028122277,1.334757692e+04,-8.067243184e-06,5.857751044e-03,8.953594907e-01,False
124,0.000000000,0.000000000,0.028334653,5.681287974e+03,-9.037855033e-06,3.044184771e-03,8.797699253e-01,False
125,0.000000000,0.000000000,0.028547030,5.892269707e+03,-9.360268201e-06,9.488242931e-05,7.686338064e-01,True
126,0.000000000,0.000000000,0.028759406,1.390794273e+04,-8.997553486e-06,3.338646745e-03,6.082843792e-01,False
127,0.000000000,0.000000000,0.028971782,2.244993885e+04,-7.942169732e-06,6.424374120e-03,3.724914807e-01,False
128,0.000000000,0.000000000,0.029184158,3.080323626e+04,-6.268784676e-06,9.045453141e-03,9.846767085e-02,False
129,0.000000000,0.000000000,0.029396535,3.872402306e+04,-4.100091121e-06,1.100312051e-02,-1.719655610e-01,False
130,0.000000000,0.000000000,0.029608911,4.601789747e+04,-1.595182004e-06,1.213296168e-02,-4.357805382e-01,False
131,0.000000000,0.000000000,0.029821287,5.252428186e+04,1.053414385e-06,1.232609859e-02,-1.466410378e+00,False
132,0.000000000,0.000000000,0.030033663,5.809053636e+04,3.640358882e-06,1.151010024e-02,-6.141403346e+00,False
133,0.000000000,0.000000000,0.030246040,6.258425939e+04,5.942357953e-06,9.717522318e-03,-1.037293511e+01,False
134,0.000000000,0.000000000,0.030458416,6.590677580e+04,7.767900540e-06,7.104170378e-03,-1.385465995e+01,False
135,0.000000000,0.000000000,0.030670792,6.797110250e+04,8.959871906e-06,3.832721212e-03,-1.635533418e+01,False
136,0.000000000,0.000000000,0.030883168,6.870996689e+04,9.395858362e-06,1.572017029e-04,-1.755779096e+01,False
137,0.000000000,0.000000000,0.031095545,6.810595267e+04,9.026643718e-06,3.624993960e-03,-1.735466224e+01,False
138,0.000000000,0.000000000,0.031307921,6.614572241e+04,7.856133204e-06,7.214234039e-03,-1.572381764e+01,False
139,0.000000000,0.000000000,0.031520297,6.285754009e+04,5.962379953e-06,1.030372442e-02,-1.281006618e+01,False
140,0.000000000,0.000000000,0.031732673,5.829923328e+04,3.479600751e-06,1.265534136e-02,-8.835743545e+00,False
141,0.000000000,0.000000000,0.031945050,5.254903362e+04,5.869923876e-07,1.405672836e-02,-3.975104621e+00,False
142,0.000000000,0.000000000,0.032157426,4.571622678e+04,-2.491029415e-06,1.434377688e-02,4.900143663e-01,False
143,0.000000000,0.000000000,0.032369802,3.794518797e+04,-5.505562348e-06,1.346909633e-02,7.557572854e-01,False
144,0.000000000,0.000000000,0.032582178,2.942875485e+04,-8.212061419e-06,1.150983785e-02,9.619548823e-01,False
145,0.000000000,0.000000000,0.032794554,2.044845181e+04,-1.039439446e-05,8.586921913e-03,1.100229948e+00,False
146,0.000000000,0.000000000,0.033006931,1.167916400e+04,-1.185937776e-05,4.900362887e-03,1.142431669e+00,False
147,0.000000000,0.000000000,0.033219307,6.991872175e+03,-1.247583573e-05,7.687357188e-04,1.093375467e+00,True
148,0.000000000,0.000000000,0.033431683,1.296403068e+04,-1.218590016e-05,3.502194732e-03,9.768277572e-01,False
149,0.000000000,0.000000000,0.033644059,2.214520659e+04,-1.098826985e-05,7.574895300e-03,7.693586240e-01,False
150,0.000000000,0.000000000,0.033856436,3.155043623e+04,-8.968444627e-06,1.110732290e-02,4.963264289e-01,False
151,0.000000000,0.000000000,0.034068812,4.059399710e+04,-6.270406956e-06,1.379217148e-02,1.744369460e-01,False
152,0.000000000,0.000000000,0.034281188,4.898168364e+04,-3.110185651e-06,1.539411066e-02,-1.507514868e-01,False
153,0.000000000,0.000000000,0.034493564,5.651117727e+04,2.682796514e-07,1.579255997e-02,-1.117377324e+00,False
154,0.000000000,0.000000000,0.034705941,6.299841518e+04,3.597743285e-06,1.491950188e-02,-6.977876779e+00,False
