rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
11,1.534653465e-02,-3.960396040e-03,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,1.536797215e-02,-4.067583540e-03,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,1.240173915e-06,-5.903608434e-07,6.836485488e-06,6.973097669e-06,1.536921233e-02,-4.068173900e-03,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
12,-3.960396040e-03,1.534653465e-02,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,-4.067583540e-03,1.536797215e-02,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,-5.903608434e-07,1.240173915e-06,6.836485488e-06,6.973097669e-06,-4.068173900e-03,1.536921233e-02,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
13,-3.960396040e-03,-1.534653465e-02,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,-4.067583540e-03,-1.536797215e-02,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,-5.903608434e-07,-1.240173915e-06,6.836485488e-06,6.973097669e-06,-4.068173900e-03,-1.536921233e-02,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
14,3.960396040e-03,1.534653465e-02,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,4.067583540e-03,1.536797215e-02,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,5.903608432e-07,1.240173915e-06,6.836485488e-06,6.973097669e-06,4.068173900e-03,1.536921233e-02,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
15,3.960396040e-03,-1.534653465e-02,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,4.067583540e-03,-1.536797215e-02,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,5.903608432e-07,-1.240173915e-06,6.836485488e-06,6.973097669e-06,4.068173900e-03,-1.536921233e-02,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
16,1.534653465e-02,3.960396040e-03,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,1.536797215e-02,4.067583540e-03,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,1.240173915e-06,5.903608432e-07,6.836485488e-06,6.973097669e-06,1.536921233e-02,4.068173900e-03,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
17,-1.534653465e-02,3.960396040e-03,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,-1.536797215e-02,4.067583540e-03,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,-1.240173915e-06,5.903608432e-07,6.836485488e-06,6.973097669e-06,-1.536921233e-02,4.068173900e-03,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
18,1.237623762e-02,0.000000000e+00,3.746683168e-02,1.873542820e+03,1.135959706e-01,-7.244534454e-07,8.030963321e-05,2.735126190e-08,5.580204453e-02,1.222617512e-02,1.929375000e-04,3.733820668e-02,2.762028665e-04,1.547329985e+03,1.342189368e-01,1.152840293e+04,1030301,-7.430950466e-07,2.246715613e-04,2.797566771e+00,4.280670874e-09,2.063559808e+01,True,True,False,8.285319549e-07,1.495104145e-06,1.016500802e-05,1.030772476e-05,1.222700366e-02,1.944326041e-04,3.734837169e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
19,0.000000000e+00,-1.237623762e-02,3.746683168e-02,1.873542820e+03,1.135959706e-01,-7.244534454e-07,8.030963321e-05,2.735126190e-08,5.580204453e-02,-1.929375000e-04,-1.222617512e-02,3.733820668e-02,2.762028665e-04,1.547329985e+03,1.342189368e-01,1.152840293e+04,1030301,-7.430950466e-07,2.246715613e-04,2.797566771e+00,4.280670873e-09,2.063559808e+01,True,True,False,-1.495104145e-06,-8.285319549e-07,1.016500803e-05,1.030772476e-05,-1.944326041e-04,-1.222700366e-02,3.734837169e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
20,0.000000000e+00,1.237623762e-02,3.746683168e-02,1.873542820e+03,1.135959706e-01,-7.244534454e-07,8.030963321e-05,2.735126190e-08,5.580204453e-02,-1.929375000e-04,1.222617512e-02,3.733820668e-02,2.762028665e-04,1.547329985e+03,1.342189368e-01,1.152840293e+04,1030301,-7.430950466e-07,2.246715613e-04,2.797566771e+00,4.280670874e-09,2.063559808e+01,True,True,False,-1.495104145e-06,8.285319549e-07,1.016500802e-05,1.030772476e-05,-1.944326041e-04,1.222700366e-02,3.734837169e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
