rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
415,full_grid,0.034158416,0.000000000,0.003061881,4.561013304e+03,3.796278522e-01,1.201443276e+04,4458,-1.288780317e-07,1.789960775e-06,1.400930917e-09,2.858179256e-03
416,full_grid,0.034158416,0.000000000,0.009645545,3.036334438e+03,2.377349131e-01,1.277193323e+04,6353,-2.798290139e-07,3.534262014e-05,8.637554967e-09,1.863598133e-02
417,full_grid,0.034653465,-0.020297030,0.004548515,1.909878366e+03,3.105622589e-01,6.149743928e+03,5761,-3.254119139e-08,1.704239410e-06,5.637157134e-10,1.209435221e-03
418,full_grid,0.034653465,0.020297030,0.004548515,1.909878366e+03,3.105622589e-01,6.149743928e+03,5761,-3.254119139e-08,1.704239410e-06,5.637157134e-10,1.209435221e-03
419,full_grid,0.035148515,-0.035148515,0.009645545,3.858706653e+03,6.473481490e-01,5.960790433e+03,6353,-2.644220137e-08,6.868631680e-07,3.033335039e-10,1.230705228e-03
420,full_grid,0.035148515,0.035148515,0.009645545,3.858706653e+03,6.473481490e-01,5.960790433e+03,6353,-2.644220137e-08,6.868631680e-07,3.033335039e-10,1.230705228e-03
421,full_grid,0.038613861,0.000000000,0.032369802,9.352711199e+03,3.403440076e-01,2.748017003e+04,6353,-1.427286790e-06,3.231457718e-05,1.846832962e-08,2.797824355e-02
422,full_grid,0.039108911,-0.039108911,0.031520297,5.533088695e+03,5.420875936e-01,1.020700116e+04,6353,-1.527260620e-07,5.595120653e-06,1.000902342e-09,3.356096771e-03
423,full_grid,0.039108911,0.000000000,0.013893069,1.897722716e+03,1.523703670e-01,1.245467051e+04,6353,-2.018133718e-07,6.667711559e-06,3.743283164e-09,7.812358819e-03
424,full_grid,0.039108911,0.000000000,0.037466832,5.877792290e+03,1.996433661e-01,2.944146057e+04,6353,-1.865921614e-06,1.134028850e-04,1.861860698e-08,3.557853365e-02
425,full_grid,0.039108911,0.000000000,0.042563861,2.647352053e+03,8.781294779e-02,3.014762765e+04,5616,-2.055278984e-06,2.282134793e-04,1.370753268e-08,3.442316721e-02
426,full_grid,0.039108911,0.039108911,0.031520297,5.533088695e+03,5.420875936e-01,1.020700116e+04,6353,-1.527260620e-07,5.595120653e-06,1.000902342e-09,3.356096771e-03
427,full_grid,0.040099010,-0.040099010,0.005185644,1.236023662e+03,2.742607772e-01,4.506746006e+03,6120,-1.634035311e-08,9.452809256e-07,1.304111480e-10,1.028502715e-03
428,full_grid,0.040099010,-0.040099010,0.036829703,3.323593830e+03,3.141914345e-01,1.057824455e+04,6353,-1.951952422e-07,4.101187409e-06,1.215384037e-09,1.009119056e-03
429,full_grid,0.040099010,0.040099010,0.005185644,1.236023662e+03,2.742607772e-01,4.506746006e+03,6120,-1.634035311e-08,9.452809256e-07,1.304111480e-10,1.028502715e-03
430,full_grid,0.040099010,0.040099010,0.036829703,3.323593830e+03,3.141914345e-01,1.057824455e+04,6353,-1.951952422e-07,4.101187409e-06,1.215384037e-09,1.009119056e-03
431,full_grid,0.041089109,-0.013366337,0.031307921,1.544020005e+03,2.774886590e-01,5.564263457e+03,6353,-5.255628246e-08,1.355179463e-06,-2.569664786e-10,3.963492359e-04
432,full_grid,0.041089109,0.013366337,0.031307921,1.544020005e+03,2.774886590e-01,5.564263457e+03,6353,-5.255628246e-08,1.355179463e-06,-2.569664786e-10,3.963492359e-04
433,full_grid,0.041089109,0.041584158,0.042139109,1.253573108e+03,1.148639877e-01,1.091354334e+04,5898,-2.134829646e-07,1.939631979e-05,1.560523070e-10,2.600186562e-03
434,full_grid,0.041584158,-0.041089109,0.042139109,1.253573108e+03,1.148639877e-01,1.091354334e+04,5898,-2.134829646e-07,1.939631979e-05,1.560523070e-10,2.600186562e-03
435,full_grid,0.043564356,-0.031188119,0.009857921,7.296410711e+02,2.540672528e-01,2.871842250e+03,6353,-9.200978670e-09,4.022861262e-07,6.460810012e-11,2.433429729e-04
436,full_grid,0.043564356,-0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
437,full_grid,0.043564356,0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
438,full_grid,0.043564356,0.031188119,0.009857921,7.296410711e+02,2.540672528e-01,2.871842250e+03,6353,-9.200978670e-09,4.022861262e-07,6.460810012e-11,2.433429729e-04
439,full_grid,0.044059406,-0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
440,full_grid,0.044059406,-0.012871287,0.030670792,1.350175455e+03,2.347772351e-01,5.750878930e+03,6353,-5.344044050e-08,2.966623801e-06,2.085953768e-10,9.400087246e-04
441,full_grid,0.044059406,0.012871287,0.030670792,1.350175455e+03,2.347772351e-01,5.750878930e+03,6353,-5.344044050e-08,2.966623801e-06,2.085953768e-10,9.400087246e-04
442,full_grid,0.044059406,0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
443,full_grid,0.044554455,-0.013366337,0.036404950,8.986594532e+02,1.318002874e-01,6.818342134e+03,6353,-7.782224614e-08,3.223998932e-06,2.170107550e-10,1.029281768e-03
444,full_grid,0.044554455,0.013366337,0.036404950,8.986594532e+02,1.318002874e-01,6.818342134e+03,6353,-7.782224614e-08,3.223998932e-06,2.170107550e-10,1.029281768e-03
445,full_grid,0.045544554,-0.013861386,0.042139109,3.821748145e+02,5.299443114e-02,7.211603301e+03,5898,-9.372530719e-08,2.246614916e-06,2.791294650e-11,6.516881085e-04
446,full_grid,0.045544554,0.013861386,0.042139109,3.821748145e+02,5.299443114e-02,7.211603301e+03,5898,-9.372530719e-08,2.246614916e-06,2.791294649e-11,6.516881085e-04
447,full_grid,0.046039604,-0.032178218,0.009008416,6.665807590e+02,2.277022985e-01,2.927422180e+03,6353,-9.267179978e-09,2.266414120e-07,1.272199679e-10,2.026959695e-04
448,full_grid,0.046039604,0.032178218,0.009008416,6.665807590e+02,2.277022985e-01,2.927422180e+03,6353,-9.267179978e-09,2.266414120e-07,1.272199679e-10,2.026959695e-04
449,full_grid,0.048514851,-0.033663366,0.007734158,3.436804901e+02,1.213470331e-01,2.832211726e+03,4994,-9.010711873e-09,1.421052650e-07,2.476353128e-11,3.463945307e-04
450,full_grid,0.048514851,0.033663366,0.007734158,3.436804901e+02,1.213470331e-01,2.832211726e+03,4994,-9.010711873e-09,1.421052650e-07,2.476353128e-11,3.463945307e-04
451,full_grid,0.049009901,0.000000000,0.015804455,2.582773248e+03,2.107608343e-01,1.225452184e+04,4513,-1.933799393e-07,2.203107259e-06,1.768303977e-09,3.607693774e-03
