rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
34,-1.138613861e-02,0.000000000e+00,3.215742574e-02,4.240799845e+03,2.374028177e-01,-7.370618053e-07,9.499819313e-05,2.468500759e-08,5.036235249e-02,-1.157907611e-02,-1.071875000e-04,3.213598824e-02,2.217512243e-04,3.159226758e+03,2.446617534e-01,1.291263025e+04,1030301,-7.711606652e-07,3.544329311e-04,3.730943920e+00,3.803485235e-09,4.378801840e+01,True,True,False,-1.599494261e-06,-5.278353557e-06,4.101892337e-06,6.873493937e-06,-1.158067561e-02,-1.124658536e-04,3.214009013e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
35,1.138613861e-02,0.000000000e+00,3.215742574e-02,4.240799845e+03,2.374028177e-01,-7.370618053e-07,9.499819313e-05,2.468500759e-08,5.036235249e-02,1.157907611e-02,-1.071875000e-04,3.213598824e-02,2.217512243e-04,3.159226758e+03,2.446617534e-01,1.291263025e+04,1030301,-7.711606652e-07,3.544329311e-04,3.730943920e+00,3.803485235e-09,4.378801840e+01,True,True,False,1.599494261e-06,-5.278353557e-06,4.101892337e-06,6.873493937e-06,1.158067561e-02,-1.124658536e-04,3.214009013e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
36,0.000000000e+00,-1.138613861e-02,3.215742574e-02,4.240799845e+03,2.374028177e-01,-7.370618053e-07,9.499819313e-05,2.468500759e-08,5.036235249e-02,-1.071875000e-04,-1.157907611e-02,3.213598824e-02,2.217512243e-04,3.159226758e+03,2.446617534e-01,1.291263025e+04,1030301,-7.711606652e-07,3.544329311e-04,3.730943920e+00,3.803485235e-09,4.378801840e+01,True,True,False,-5.278353557e-06,-1.599494261e-06,4.101892337e-06,6.873493937e-06,-1.124658536e-04,-1.158067561e-02,3.214009013e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
37,0.000000000e+00,1.138613861e-02,3.215742574e-02,4.240799845e+03,2.374028177e-01,-7.370618053e-07,9.499819313e-05,2.468500759e-08,5.036235249e-02,-1.071875000e-04,1.157907611e-02,3.213598824e-02,2.217512243e-04,3.159226758e+03,2.446617534e-01,1.291263025e+04,1030301,-7.711606652e-07,3.544329311e-04,3.730943920e+00,3.803485235e-09,4.378801840e+01,True,True,False,-5.278353557e-06,1.599494261e-06,4.101892337e-06,6.873493937e-06,-1.124658536e-04,1.158067561e-02,3.214009013e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
38,1.633663366e-02,-2.128712871e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,1.620800866e-02,-2.137287871e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255277e-10,1.121819827e+01,True,True,False,3.225877326e-06,-2.540170406e-06,1.312210601e-06,4.310527448e-06,1.621123454e-02,-2.137541888e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
39,-1.633663366e-02,-2.128712871e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,-1.620800866e-02,-2.137287871e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255277e-10,1.121819827e+01,True,True,False,-3.225877326e-06,-2.540170406e-06,1.312210601e-06,4.310527448e-06,-1.621123454e-02,-2.137541888e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
40,-1.633663366e-02,2.128712871e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,-1.620800866e-02,2.137287871e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255276e-10,1.121819827e+01,True,True,False,-3.225877326e-06,2.540170406e-06,1.312210601e-06,4.310527448e-06,-1.621123454e-02,2.137541888e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
41,2.128712871e-02,1.633663366e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,2.137287871e-02,1.620800866e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255276e-10,1.121819827e+01,True,True,False,2.540170406e-06,3.225877326e-06,1.312210601e-06,4.310527448e-06,2.137541888e-02,1.621123454e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
42,-2.128712871e-02,-1.633663366e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,-2.137287871e-02,-1.620800866e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255276e-10,1.121819827e+01,True,True,False,-2.540170406e-06,-3.225877326e-06,1.312210601e-06,4.310527448e-06,-2.137541888e-02,-1.621123454e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
43,1.633663366e-02,2.128712871e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,1.620800866e-02,2.137287871e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255276e-10,1.121819827e+01,True,True,False,3.225877326e-06,2.540170406e-06,1.312210601e-06,4.310527448e-06,1.621123454e-02,2.137541888e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
44,-2.128712871e-02,1.633663366e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,-2.137287871e-02,1.620800866e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255277e-10,1.121819827e+01,True,True,False,-2.540170406e-06,3.225877326e-06,1.312210601e-06,4.310527448e-06,-2.137541888e-02,1.621123454e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
45,2.128712871e-02,-1.633663366e-02,6.035148515e-03,4.256888934e+03,1.793933838e-01,-7.501608460e-07,2.876316276e-05,2.365528822e-08,9.087940771e-02,2.137287871e-02,-1.620800866e-02,5.992273515e-03,1.604235605e-04,5.416553258e+03,3.888768398e-01,1.392871136e+04,1030301,-7.946740567e-07,1.117164916e-04,3.884012775e+00,8.866255276e-10,1.121819827e+01,True,True,False,2.540170406e-06,-3.225877326e-06,1.312210601e-06,4.310527448e-06,2.137541888e-02,-1.621123454e-02,5.993585725e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
46,-2.970297030e-03,-2.970297030e-03,2.005198020e-02,7.250234462e+03,2.099962372e-01,-2.921084851e-06,3.311241719e-04,2.099605527e-08,3.730615146e-02,-2.948859530e-03,-2.948859530e-03,1.992335520e-02,1.321496252e-04,6.582884553e+03,2.645847123e-01,2.488006391e+04,1030301,-2.976544919e-06,7.871605629e-04,2.377236788e+00,4.073219527e-09,9.479183205e+01,True,True,False,4.585966582e-06,4.585966582e-06,-1.998774627e-07,6.488615413e-06,-2.944273563e-03,-2.944273563e-03,1.992315532e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
47,-2.970297030e-03,2.970297030e-03,2.005198020e-02,7.250234462e+03,2.099962372e-01,-2.921084851e-06,3.311241719e-04,2.099605527e-08,3.730615146e-02,-2.948859530e-03,2.948859530e-03,1.992335520e-02,1.321496252e-04,6.582884553e+03,2.645847123e-01,2.488006391e+04,1030301,-2.976544919e-06,7.871605629e-04,2.377236788e+00,4.073219526e-09,9.479183205e+01,True,True,False,4.585966582e-06,-4.585966582e-06,-1.998774627e-07,6.488615413e-06,-2.944273563e-03,2.944273563e-03,1.992315532e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
48,2.970297030e-03,-2.970297030e-03,2.005198020e-02,7.250234462e+03,2.099962372e-01,-2.921084851e-06,3.311241719e-04,2.099605527e-08,3.730615146e-02,2.948859530e-03,-2.948859530e-03,1.992335520e-02,1.321496252e-04,6.582884553e+03,2.645847123e-01,2.488006391e+04,1030301,-2.976544919e-06,7.871605629e-04,2.377236788e+00,4.073219526e-09,9.479183205e+01,True,True,False,-4.585966582e-06,4.585966582e-06,-1.998774627e-07,6.488615413e-06,2.944273563e-03,-2.944273563e-03,1.992315532e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
49,2.970297030e-03,2.970297030e-03,2.005198020e-02,7.250234462e+03,2.099962372e-01,-2.921084851e-06,3.311241719e-04,2.099605527e-08,3.730615146e-02,2.948859530e-03,2.948859530e-03,1.992335520e-02,1.321496252e-04,6.582884553e+03,2.645847123e-01,2.488006391e+04,1030301,-2.976544919e-06,7.871605629e-04,2.377236788e+00,4.073219526e-09,9.479183205e+01,True,True,False,-4.585966582e-06,-4.585966582e-06,-1.998774626e-07,6.488615413e-06,2.944273563e-03,2.944273563e-03,1.992315532e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
50,0.000000000e+00,-3.910891089e-02,3.746683168e-02,5.877792290e+03,1.996433661e-01,-1.865921614e-06,1.134028850e-04,1.861860698e-08,3.557853365e-02,0.000000000e+00,-3.930184839e-02,3.738108168e-02,2.111348891e-04,5.381398012e+03,2.768679727e-01,1.943669381e+04,1030301,-1.883473001e-06,3.898590671e-05,3.437823183e-01,1.733604417e-09,1.322899091e+01,True,True,False,-9.301183694e-18,-1.849380005e-06,1.115853795e-06,2.159938910e-06,-9.301183694e-18,-3.930369777e-02,3.738219754e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
51,-3.910891089e-02,0.000000000e+00,3.746683168e-02,5.877792290e+03,1.996433661e-01,-1.865921614e-06,1.134028850e-04,1.861860698e-08,3.557853365e-02,-3.930184839e-02,0.000000000e+00,3.738108168e-02,2.111348891e-04,5.381398012e+03,2.768679727e-01,1.943669381e+04,1030301,-1.883473001e-06,3.898590672e-05,3.437823183e-01,1.733604417e-09,1.322899090e+01,True,True,False,-1.849380005e-06,-3.380414159e-17,1.115853795e-06,2.159938910e-06,-3.930369777e-02,-3.380414159e-17,3.738219754e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
52,0.000000000e+00,3.910891089e-02,3.746683168e-02,5.877792290e+03,1.996433661e-01,-1.865921614e-06,1.134028850e-04,1.861860698e-08,3.557853365e-02,0.000000000e+00,3.930184839e-02,3.738108168e-02,2.111348891e-04,5.381398012e+03,2.768679727e-01,1.943669381e+04,1030301,-1.883473001e-06,3.898590671e-05,3.437823183e-01,1.733604416e-09,1.322899091e+01,True,True,False,3.132473254e-17,1.849380004e-06,1.115853795e-06,2.159938909e-06,3.132473254e-17,3.930369777e-02,3.738219754e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
53,3.910891089e-02,0.000000000e+00,3.746683168e-02,5.877792290e+03,1.996433661e-01,-1.865921614e-06,1.134028850e-04,1.861860698e-08,3.557853365e-02,3.930184839e-02,0.000000000e+00,3.738108168e-02,2.111348891e-04,5.381398012e+03,2.768679727e-01,1.943669381e+04,1030301,-1.883473001e-06,3.898590672e-05,3.437823183e-01,1.733604416e-09,1.322899091e+01,True,True,False,1.849380004e-06,-4.399617928e-17,1.115853795e-06,2.159938909e-06,3.930369777e-02,-4.399617928e-17,3.738219754e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
54,-3.465346535e-03,-3.465346535e-03,1.559207921e-02,6.638086956e+03,2.308940335e-01,-2.030948020e-06,5.466095043e-05,1.500699464e-08,5.196849711e-02,-2.993721535e-03,-2.993721535e-03,1.548489171e-02,6.755364101e-04,8.314375593e+03,4.032528082e-01,2.061827079e+04,1030301,-2.083257584e-06,7.255485390e-04,1.327361733e+01,8.319401583e-09,8.466154711e+01,True,True,False,-2.223518204e-06,-2.223518204e-06,-7.556244915e-06,8.184430562e-06,-2.995945053e-03,-2.995945053e-03,1.547733546e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
55,3.465346535e-03,-3.465346535e-03,1.559207921e-02,6.638086956e+03,2.308940335e-01,-2.030948020e-06,5.466095043e-05,1.500699464e-08,5.196849711e-02,2.993721535e-03,-2.993721535e-03,1.548489171e-02,6.755364101e-04,8.314375593e+03,4.032528082e-01,2.061827079e+04,1030301,-2.083257584e-06,7.255485390e-04,1.327361733e+01,8.319401582e-09,8.466154711e+01,True,True,False,2.223518205e-06,-2.223518205e-06,-7.556244915e-06,8.184430562e-06,2.995945053e-03,-2.995945053e-03,1.547733546e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
56,-3.465346535e-03,3.465346535e-03,1.559207921e-02,6.638086956e+03,2.308940335e-01,-2.030948020e-06,5.466095043e-05,1.500699464e-08,5.196849711e-02,-2.993721535e-03,2.993721535e-03,1.548489171e-02,6.755364101e-04,8.314375593e+03,4.032528082e-01,2.061827079e+04,1030301,-2.083257584e-06,7.255485390e-04,1.327361733e+01,8.319401582e-09,8.466154711e+01,True,True,False,-2.223518205e-06,2.223518204e-06,-7.556244915e-06,8.184430562e-06,-2.995945053e-03,2.995945053e-03,1.547733546e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
57,3.465346535e-03,3.465346535e-03,1.559207921e-02,6.638086956e+03,2.308940335e-01,-2.030948020e-06,5.466095043e-05,1.500699464e-08,5.196849711e-02,2.993721535e-03,2.993721535e-03,1.548489171e-02,6.755364101e-04,8.314375593e+03,4.032528082e-01,2.061827079e+04,1030301,-2.083257584e-06,7.255485390e-04,1.327361733e+01,8.319401582e-09,8.466154711e+01,True,True,False,2.223518205e-06,2.223518205e-06,-7.556244915e-06,8.184430562e-06,2.995945053e-03,2.995945053e-03,1.547733546e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
58,2.277227723e-02,0.000000000e+00,4.256386139e-02,6.689931451e+02,5.969008512e-02,-3.752753655e-07,3.207657119e-05,1.375080891e-08,3.138285794e-02,2.242927723e-02,6.431250000e-05,4.256386139e-02,3.489772165e-04,4.886675926e+02,6.285016165e-02,7.775120696e+03,1030301,-3.866988600e-07,1.490812566e-04,4.647668098e+00,8.814562446e-10,1.071936408e+01,True,True,False,6.470951949e-06,-1.577753398e-06,-2.271289053e-06,7.037135701e-06,2.243574818e-02,6.273474660e-05,4.256159010e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
59,0.000000000e+00,-2.277227723e-02,4.256386139e-02,6.689931451e+02,5.969008512e-02,-3.752753655e-07,3.207657119e-05,1.375080891e-08,3.138285794e-02,6.431250000e-05,-2.242927723e-02,4.256386139e-02,3.489772165e-04,4.886675926e+02,6.285016165e-02,7.775120696e+03,1030301,-3.866988600e-07,1.490812566e-04,4.647668098e+00,8.814562447e-10,1.071936408e+01,True,True,False,-1.577753398e-06,-6.470951949e-06,-2.271289053e-06,7.037135701e-06,6.273474660e-05,-2.243574818e-02,4.256159010e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
60,-2.277227723e-02,0.000000000e+00,4.256386139e-02,6.689931451e+02,5.969008512e-02,-3.752753655e-07,3.207657119e-05,1.375080891e-08,3.138285794e-02,-2.242927723e-02,6.431250000e-05,4.256386139e-02,3.489772165e-04,4.886675926e+02,6.285016165e-02,7.775120696e+03,1030301,-3.866988600e-07,1.490812566e-04,4.647668098e+00,8.814562447e-10,1.071936408e+01,True,True,False,-6.470951949e-06,-1.577753398e-06,-2.271289053e-06,7.037135701e-06,-2.243574818e-02,6.273474660e-05,4.256159010e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
61,0.000000000e+00,2.277227723e-02,4.256386139e-02,6.689931451e+02,5.969008512e-02,-3.752753655e-07,3.207657119e-05,1.375080891e-08,3.138285794e-02,-6.431250000e-05,2.242927723e-02,4.256386139e-02,3.489772165e-04,4.886675926e+02,6.285016165e-02,7.775120696e+03,1030301,-3.866988600e-07,1.490812566e-04,4.647668098e+00,8.814562446e-10,1.071936408e+01,True,True,False,1.577753398e-06,6.470951949e-06,-2.271289053e-06,7.037135701e-06,-6.273474660e-05,2.243574818e-02,4.256159010e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
