rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
11,-3.960396040e-03,1.534653465e-02,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,-4.067583540e-03,1.536797215e-02,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529654e-09,2.280318194e+01,True,True,False,-5.879739082e-07,1.249310631e-06,6.831974813e-06,6.970105466e-06,-4.068171514e-03,1.536922146e-02,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
12,-1.534653465e-02,-3.960396040e-03,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,-1.536797215e-02,-4.067583540e-03,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529654e-09,2.280318194e+01,True,True,False,-1.249310631e-06,-5.879739082e-07,6.831974813e-06,6.970105466e-06,-1.536922146e-02,-4.068171514e-03,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
13,-3.960396040e-03,-1.534653465e-02,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,-4.067583540e-03,-1.536797215e-02,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529654e-09,2.280318194e+01,True,True,False,-5.879739081e-07,-1.249310631e-06,6.831974813e-06,6.970105466e-06,-4.068171514e-03,-1.536922146e-02,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
14,-1.534653465e-02,3.960396040e-03,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,-1.536797215e-02,4.067583540e-03,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529655e-09,2.280318194e+01,True,True,False,-1.249310631e-06,5.879739080e-07,6.831974813e-06,6.970105466e-06,-1.536922146e-02,4.068171514e-03,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
15,1.534653465e-02,3.960396040e-03,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,1.536797215e-02,4.067583540e-03,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529655e-09,2.280318194e+01,True,True,False,1.249310631e-06,5.879739080e-07,6.831974813e-06,6.970105466e-06,1.536922146e-02,4.068171514e-03,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
16,3.960396040e-03,1.534653465e-02,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,4.067583540e-03,1.536797215e-02,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529655e-09,2.280318194e+01,True,True,False,5.879739079e-07,1.249310631e-06,6.831974813e-06,6.970105466e-06,4.068171514e-03,1.536922146e-02,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
17,3.960396040e-03,-1.534653465e-02,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,4.067583540e-03,-1.536797215e-02,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529655e-09,2.280318194e+01,True,True,False,5.879739079e-07,-1.249310631e-06,6.831974813e-06,6.970105466e-06,4.068171514e-03,-1.536922146e-02,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
18,1.237623762e-02,0.000000000e+00,3.746683168e-02,1.877261653e+03,1.138312736e-01,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02,1.222617512e-02,1.929375000e-04,3.733820668e-02,2.762028665e-04,1.550790835e+03,1.345018118e-01,1.152988806e+04,1030301,-7.429439069e-07,2.244484911e-04,2.787306161e+00,4.280796464e-09,2.064696622e+01,True,True,False,8.279355805e-07,1.494193939e-06,1.014891871e-05,1.029167838e-05,1.222700306e-02,1.944316939e-04,3.734835560e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
19,-1.237623762e-02,0.000000000e+00,3.746683168e-02,1.877261653e+03,1.138312736e-01,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02,-1.222617512e-02,1.929375000e-04,3.733820668e-02,2.762028665e-04,1.550790835e+03,1.345018118e-01,1.152988806e+04,1030301,-7.429439069e-07,2.244484911e-04,2.787306161e+00,4.280796464e-09,2.064696622e+01,True,True,False,-8.279355804e-07,1.494193939e-06,1.014891871e-05,1.029167838e-05,-1.222700306e-02,1.944316939e-04,3.734835560e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
20,0.000000000e+00,-1.237623762e-02,3.746683168e-02,1.877261653e+03,1.138312736e-01,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02,-1.929375000e-04,-1.222617512e-02,3.733820668e-02,2.762028665e-04,1.550790835e+03,1.345018118e-01,1.152988806e+04,1030301,-7.429439069e-07,2.244484911e-04,2.787306161e+00,4.280796463e-09,2.064696622e+01,True,True,False,-1.494193939e-06,-8.279355804e-07,1.014891871e-05,1.029167838e-05,-1.944316939e-04,-1.222700306e-02,3.734835560e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
21,0.000000000e+00,1.237623762e-02,3.746683168e-02,1.877261653e+03,1.138312736e-01,-7.242686350e-07,8.052523768e-05,2.734324755e-08,5.578569364e-02,1.929375000e-04,1.222617512e-02,3.733820668e-02,2.762028665e-04,1.550790835e+03,1.345018118e-01,1.152988806e+04,1030301,-7.429439069e-07,2.244484911e-04,2.787306161e+00,4.280796464e-09,2.064696622e+01,True,True,False,1.494193939e-06,8.279355804e-07,1.014891871e-05,1.029167838e-05,1.944316939e-04,1.222700306e-02,3.734835560e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
22,0.000000000e+00,1.237623762e-02,4.235148515e-02,1.110662664e+03,6.626799895e-02,-7.301854112e-07,1.081111700e-04,2.695732648e-08,5.499833749e-02,0.000000000e+00,1.250486262e-02,4.243723515e-02,1.545880109e-04,4.625231777e+02,4.212590824e-02,1.097954197e+04,1030301,-7.534296290e-07,1.820910808e-04,1.684294793e+00,4.217421836e-09,2.661507315e+01,True,True,False,9.264037700e-19,-1.019844747e-06,-5.511609841e-06,5.605169610e-06,9.264037700e-19,1.250384278e-02,4.243172354e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
23,1.237623762e-02,0.000000000e+00,4.235148515e-02,1.110662664e+03,6.626799895e-02,-7.301854112e-07,1.081111700e-04,2.695732648e-08,5.499833749e-02,1.250486262e-02,0.000000000e+00,4.243723515e-02,1.545880109e-04,4.625231777e+02,4.212590824e-02,1.097954197e+04,1030301,-7.534296290e-07,1.820910808e-04,1.684294793e+00,4.217421836e-09,2.661507315e+01,True,True,False,-1.019844747e-06,1.059928344e-18,-5.511609841e-06,5.605169610e-06,1.250384278e-02,1.059928344e-18,4.243172354e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
